Date,Open,High,Low,Close,Adj Close,Volume
2025-05-30,414.14,417.86,411.53,415.09,415.09,4231300
2025-05-29,414.0,415.42,410.47,413.36,413.36,1780400
2025-05-28,413.81,416.37,411.42,412.23,412.23,2246500
2025-05-27,412.76,414.95,411.6,413.1,413.1,2680400
2025-05-23,409.11,411.45,407.15,407.69,407.69,2087700
2025-05-22,412.51,417.9,412.51,414.33,414.33,1889500
2025-05-21,414.86,422.95,412.59,414.03,414.03,2495800
2025-05-20,417.87,419.13,414.29,417.61,417.61,2453000
2025-05-19,413.53,421.27,413.2,420.68,420.68,3008000
2025-05-16,414.62,421.77,412.06,417.13,417.13,5391500
2025-05-15,399.35,404.85,399.35,404.69,404.69,2763800
2025-05-14,396.85,400.12,396.42,399.47,399.47,2409200
2025-05-13,395.9,399.67,394.71,397.4,397.4,2664100
2025-05-12,394.33,397.82,392.76,395.94,395.94,3157700
2025-05-09,386.18,388.77,382.33,383.28,383.28,2031300
2025-05-08,388.3,388.73,383.4,383.99,383.99,3383900
2025-05-07,384.7,387.83,380.95,384.97,384.97,2153000
2025-05-06,376.57,386.52,375.05,382.98,382.98,2970100
2025-05-05,379.29,384.54,378.4,381.06,381.06,2095600
2025-05-02,380.09,383.56,379.19,380.87,380.87,2340700
2025-05-01,378.3,380.44,374.07,374.63,374.63,2848800
2025-04-30,366.87,376.0,363.56,374.98,374.98,3305500
2025-04-29,367.21,373.88,366.88,370.98,370.98,2198300
2025-04-28,368.05,370.99,364.58,368.62,368.62,3163400
2025-04-25,361.7,369.31,359.99,367.72,367.72,3499300
2025-04-24,353.59,361.12,353.25,360.91,360.91,3085100
2025-04-23,358.12,363.0,349.8,351.96,351.96,3168000
2025-04-22,349.14,352.08,344.37,349.91,349.91,3250400
2025-04-21,344.57,346.68,338.64,343.22,343.22,3691200
2025-04-17,349.75,351.88,345.09,348.8,348.8,5229700
2025-04-16,345.0,350.38,341.31,344.19,344.19,3687900
2025-04-15,351.05,356.49,349.19,350.38,350.38,3030400
2025-04-14,359.51,362.05,348.5,350.91,350.91,3286000
2025-04-11,351.44,353.1,342.35,352.47,352.47,3941800
2025-04-10,360.97,362.5,341.52,350.05,350.05,5695000
2025-04-09,338.74,365.72,333.43,364.64,364.64,7186300
2025-04-08,350.1,350.74,333.83,340.0,340.0,6650800
2025-04-07,335.54,358.36,332.01,340.7,340.7,7690900
2025-04-04,359.0,361.73,348.8,349.07,349.07,5867600
2025-04-03,371.88,376.01,366.29,367.25,367.25,5324400
2025-04-02,378.28,388.0,376.54,385.78,385.78,2859100
2025-04-01,381.13,384.0,375.53,383.2,383.2,3847800
2025-03-31,380.0,384.8,374.67,383.53,383.53,3960700
2025-03-28,393.89,396.92,384.76,385.71,385.71,3830300
2025-03-27,397.44,401.48,392.51,396.15,396.15,2729700
2025-03-26,403.0,404.5,397.01,397.81,397.81,3425000
2025-03-25,393.57,404.32,392.99,403.64,403.64,3648600
2025-03-24,392.47,396.86,391.38,394.47,394.47,5223000
